"Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"NOSTALGIA IN NAUPLIA, plate 10 (folio 26) from AN AEGEAN NOTE-BOOK","Roloff Beny","484","(Canadian, 1924–1984)","(Canadian)","(1924)","(1984)","(Male)","(1948-50)",NA,"irreg. composition  8 15/16 x 8 13/16"" (22.7 x 22.4 cm)","Gift of Mrs. Hazel McKinley","35.1953.11","Illustrated Book","Drawings & Prints",1953-01-30,"N",10532,NA,NA,NA,NA,NA,22.7,NA,NA,22.4,NA,NA
"The Prisoner","William Baziotes","406","(American, 1912–1963)","(American)","(1912)","(1963)","(Male)","(c. 1942)","Gouache and ink on paper","14 x 11 3/8"" (35.6 x 29 cm)","The Joan and Lester Avnet Fund","462.1980","Drawing","Drawings & Prints",1980-05-13,"Y",37036,"http://www.moma.org/collection/works/37036","http://www.moma.org/media/W1siZiIsIjE4MjY5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3652d6d57ba01929",NA,NA,NA,35.6,NA,NA,28.9,NA,NA
"Untitled from Placebos","Thomas Schütte","5281","(German, born 1954)","(German)","(1954)","(0)","(Male)","2011","One from a portfolio of twelve etching, aquatint, drypoint, and carborundum prints on vellum","plate: 11 3/4 x 9 7/16"" (29.8 x 24 cm); sheet: 24 7/16 x 17 11/16"" (62 x 45 cm)","Gift of Peter Freeman","63.2014.9","Print","Drawings & Prints",2014-02-19,"Y",179986,"http://www.moma.org/collection/works/179986","http://www.moma.org/media/W1siZiIsIjI5MjU0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c5871ce4696f220b",NA,NA,NA,29.8,NA,NA,24,NA,NA
"THE MAID SWURTSZKA (plate, page 7) from AUS DEN MEMOIREN DES HERRN VON SCHNABELEWOPSKY","Jules Pascin","4514","(American, born Bulgaria. 1885–1930)","(American)","(1885)","(1930)","(Male)","1910","Lithograph and pochoir","irreg. composition  6 5/16 x 4 1/4"" (16.1 x 10.8 cm)","The Louis E. Stern Collection","947.1964.2","Illustrated Book","Drawings & Prints",1964-10-06,"N",29174,NA,NA,NA,NA,NA,16.1,NA,NA,10.8,NA,NA
"Boat Girls","John Thomson","5863","(British, 1837–1921)","(British)","(1837)","(1921)","(Male)","1873","Collotype","18 11/16 × 13 9/16"" (47.5 × 34.5 cm)
4 5/16 × 3 7/16"" (10.9 × 8.8 cm)","Gift of Warner Communications, Inc.","53.1981.10","Photograph","Photography",1981-02-26,"N",92520,NA,NA,NA,NA,NA,47.5,NA,NA,34.5,NA,NA
"Portland, Maine","Lee Friedlander","2002","(American, born 1934)","(American)","(1934)","(0)","(Male)","1962","Gelatin silver print","5 11/16 × 8 9/16"" (14.4 × 21.7 cm)","Purchase","848.1965","Photograph","Photography",1965-11-09,"Y",56925,"http://www.moma.org/collection/works/56925","http://www.moma.org/media/W1siZiIsIjE0OTYxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ed10cf2eff9735b7",NA,NA,NA,14.4,NA,NA,21.7,NA,NA
"Firmin Gimiér and Un Satyre program for Mariage d'argent, and Le Fardeau de la liberté and Un Client sérieux de G. Coureline from The Beraldi Album of Theatre Programs","Henri de Toulouse-Lautrec, Louis Anquetin","5910, 32939","(French, 1864–1901) (French, 1861–1932)","(French) (French)","(1864) (1861)","(1901) (1932)","(Male) (Male)","1897","One from an album of 50 lithographs","sheet (folded): 12 3/8 x 9 11/16"" (31.5 x 24.6 cm)","Johanna and Leslie J. Garfield Fund, Mary Ellen Oldenburg Fund, and Sharon P. Rockefeller Fund","289.2008.40","Print","Drawings & Prints",2008-03-12,"Y",152676,"http://www.moma.org/collection/works/152676","http://www.moma.org/media/W1siZiIsIjI2Mzg5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dbf78c771b783181",NA,NA,NA,49.3,NA,NA,31.5,NA,NA
"Still Life with Parrot (Nature morte au perroquet)","Jacques Villon","6165","(French, 1875–1963)","(French)","(1875)","(1963)","(Male)","1932","Etching and drypoint","plate: 8 13/16 x 11 1/8"" (22.4 x 28.2 cm); sheet: 11 5/8 x 15 11/16"" (29.5 x 39.8 cm)","Gift of Edgar Kaufmann, Jr.","173.1951","Print","Drawings & Prints",1951-05-24,"Y",63593,"http://www.moma.org/collection/works/63593","http://www.moma.org/media/W1siZiIsIjIyMzk4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7d4d0ea1931b2705",NA,NA,NA,22.4,NA,NA,28.2,NA,NA
"Duval","Pierre Petit","4576","(French, 1832–1909)","(French)","(1832)","(1909)","(Male)","c. 1865","Albumen silver print from a glass negative","oval 9 13/16 × 7 3/8"" (25 × 18.7 cm)","Acquired through the generosity of Paul F. Walter","367.1981","Photograph","Photography",1981-10-15,"Y",51888,"http://www.moma.org/collection/works/51888","http://www.moma.org/media/W1siZiIsIjIxMzYxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3b3bc6c7e7f5a614",NA,NA,NA,25,NA,NA,18.7,NA,NA
"Untitled (gray and white lines)","Lauretta Vinciarelli","6168","(Italian, 1943–2012)","(Italian)","(1943)","(2012)","(Female)","1973","Synthetic polymer paint on paper","35 × 22 1/2"" (88.9 × 57.2 cm)","Gift of Peter G. Rowe","662.2016","Architecture","Architecture & Design",2016-06-10,"N",204181,NA,NA,NA,NA,NA,88.9001778004,NA,NA,57.1501143002,NA,NA
"Untitled from the Museum in Progress project TransAct: Transnational Activities in the Cultural Field","Simon Patterson","7491","(British, born 1967)","(British)","(1967)","(0)","(Male)","(newspaper published June 23, 2000)","Lithograph, offset printed","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)","Linda Barth Goldstein Fund","514.2006.230","Print","Drawings & Prints",2006-06-01,"N",103697,NA,NA,NA,NA,NA,47,NA,NA,31.5,NA,NA
"Nowhere to Go, Museum of Outdoor Arts Element House, Star Axis, New Mexico","Hilary Sample, Michael Meredith","40829, 41061","(American, born 1971) (American, born 1971)","(American) (American)","(1971) (1971)","(0) (0)","(Female) (Male)","2008–2013","Digital video (color, sound)","9 min., 53 sec.","Gift of the architects","335.2014","Architecture","Architecture & Design",2014-05-19,"Y",180412,"http://www.moma.org/collection/works/180412","http://www.moma.org/media/W1siZiIsIjI5MTcxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3a50059a867ebbba",NA,NA,NA,NA,NA,NA,NA,NA,593
"WADSAR TANK. PUDDLE TRENCH IN COURSE OF CONSTRUCTION","Unknown photographer","8595",NA,"()","(0)","(0)","()","1899","Albumen silver print","6 5/16 × 8 7/8"" (16.0 × 22.5 cm)",NA,"223.1975.25","Photograph","Photography",1975-05-14,"N",48990,NA,NA,NA,NA,NA,16,NA,NA,22.5,NA,NA
"Work Drawing: Cross Connecting Form","Franz Erhard Walther","7662","(German, born 1939)","(German)","(1939)","(0)","(Male)","1967/1968","Watercolor, ink, and pencil on paper",NA,"Richard S. Zeisler Bequest (by exchange)","41.2011.36.a-b","Drawing","Drawings & Prints",2011-02-07,"Y",144612,"http://www.moma.org/collection/works/144612","http://www.moma.org/media/W1siZiIsIjI0Nzc1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bffa0ae4bf2a04c6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Study for Do the Dance","Elizabeth Murray","4185","(American, 1940–2007)","(American)","(1940)","(2007)","(Female)","2005","Colored pencil on paper","8 1/2 x 14"" (21.6 x 35.6 cm)","Gift of Arne and Milly Glimcher","229.2006","Drawing","Drawings & Prints",2006-02-14,"Y",100488,"http://www.moma.org/collection/works/100488","http://www.moma.org/media/W1siZiIsIjMyNzk1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=65aa9500acec0a8f",NA,NA,NA,21.59,NA,NA,35.5601,NA,NA
"Architecture School Representatives","August Sander","5145","(German, 1876–1964)","(German)","(1876)","(1964)","(Male)","c. 1928","Gelatin silver print","10 3/16 × 7 3/8"" (25.8 × 18.7 cm)","Acquired through the generosity of the family of August Sander","472.2015.416","Photograph","Photography",2015-05-28,"Y",194048,"http://www.moma.org/collection/works/194048","http://www.moma.org/media/W1siZiIsIjMyOTIxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2b77b5889f9f4ea4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kiss","Not Vital","7917","(Swiss, born 1948)","(Swiss)","(1948)","(0)","(Male)","1996","Aquatint","composition: 27 5/8 x 59 5/8"" (70.1 x 151.5 cm); plate: 30 x 60"" (76.2 x 152.4 cm); sheet: 34 1/16 x 64"" (86.5 x 162.6 cm)","Gift of Baron/Boisanté Editions","704.1996","Print","Drawings & Prints",1996-11-12,"Y",73305,"http://www.moma.org/collection/works/73305","http://www.moma.org/media/W1siZiIsIjIzNjQ0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c38e39f225356203",NA,NA,NA,70.1,NA,NA,151.5,NA,NA
"STILL LIFE III","Pentti Kaskipuo","3009","(Finnish, born 1930)","(Finnish)","(1930)","(0)","(Male)","1964","Drypoint and aquatint, printed in black","Plate 8 13/16 x 15 7/16"" (22.4 x 39.2 cm)  Sheet 13 3/16 x 19 1/4"" (33.5 x 48.9 cm)","Purchase","94.1965","Print","Drawings & Prints",1965-03-09,"N",61719,NA,NA,NA,NA,NA,22.4,NA,NA,39.2,NA,NA
"Ophélie (plate, facing page 100) from D'Ariane à Zoé","Rodolphe-Théophile Bosshard","691","(Swiss, 1889–1960)","(Swiss)","(1889)","(1960)","(Male)","1930","Lithograph from an illustrated book with 26 lithographs and supplementary suite","composition (irreg.): 7 9/16 × 6 1/16"" (19.2 × 15.4 cm); page: 11 7/16 × 8 7/8"" (29 × 22.5 cm)","The Louis E. Stern Collection","1105.1964.15","Illustrated Book","Drawings & Prints",1964-10-06,"N",31793,NA,NA,NA,NA,NA,19.2,NA,NA,15.4,NA,NA
"Plate (facing page 66) from Allo! Paris!","Robert Delaunay","1479","(French, 1885–1941)","(French)","(1885)","(1941)","(Male)","1926","One from an illustrated book with twenty lithographs","composition (irreg.): 6 3/4 × 6 1/4"" (17.2 × 15.9 cm); page (approx.): 10 7/8 × 8 7/8"" (27.7 × 22.5 cm)","The Louis E. Stern Collection","778.1964.11","Illustrated Book","Drawings & Prints",1964-10-06,"Y",23704,"http://www.moma.org/collection/works/23704",NA,NA,NA,NA,17.2,NA,NA,15.9,NA,NA
"Letter to Kinmont from Patrick Reagh, “Dear Ben, Here are some figures regarding the printing of Prospectus…”","Ben Kinmont","41829","(American, born 1963)","(American)","(1963)","(0)","(Male)","2010","laser printout, printed in black ink with handwriting in red ink and pencil on white paper",NA,"Fund for the Twenty-First Century","72.2013.500","Print","Drawings & Prints",2013-02-07,"N",169561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Un Episodio en la vida del pintor viajero from The Valise",NA,NA,NA,NA,NA,NA,NA,"2016","Book from a multiple of archival carrying case, containing 14 printed objects, two multiples, two books, and one 12-inch vinyl record",NA,"Gift of the Library Council of The Museum of Modern Art","655.2017.20","Illustrated Book","Drawings & Prints",2017-10-18,"N",274754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Introduction (Introducción) from The Earth","Rafael Canogar","952","(Spanish, born 1935)","(Spanish)","(1935)","(0)","(Male)","1969","One from a portfolio of 14 lithographs","composition (irreg.): 30 × 22 1/16"" (76.2 × 56 cm); sheet: 30 1/8 × 22 1/16"" (76.5 × 56 cm)","Gift of Kleiner, Bell & Co.","652.1969.1","Print","Drawings & Prints",1974-01-10,"Y",72597,"http://www.moma.org/collection/works/72597","http://www.moma.org/media/W1siZiIsIjQwMTUzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8d556e1a3093e3de",NA,NA,NA,76.2,NA,NA,56,NA,NA
"Untitled #242","José Antonio Suárez Londoño","26770","(Colombian, born 1955)","(Colombian)","(1955)","(0)","(Male)","2007","Etching","plate: 4 5/8 x 4 11/16"" (11.8 x 11.9 cm); sheet: 11 x 7 7/16"" (28 x 18.9 cm)","Gift of the artist through the Latin American and Caribbean Fund","315.2011","Print","Drawings & Prints",2011-05-16,"Y",147220,"http://www.moma.org/collection/works/147220","http://www.moma.org/media/W1siZiIsIjI0OTQ3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a02354053346e88e",NA,NA,NA,11.8,NA,NA,11.9,NA,NA
"Greeks","Jan Groover","2358","(American, 1943–2012)","(American)","(1943)","(2012)","(Female)","1984","Platinum/palladium print in bound volume","2 1/8 × 2 5/8"" (5.4 × 6.7 cm)","Gift of Lily Auchincloss","337.1994.1","Photograph","Photography",1994-06-09,"N",51156,NA,NA,NA,NA,NA,5.4,NA,NA,6.7,NA,NA
"Poster of the French National Railroad","Album-miscellaneous","101","(Various)","()","(0)","(0)","()","1900-1943",NA,NA,"Gift of the French National Railroads","65.1943.173","Design","Architecture & Design",1943-02-18,"N",162993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Songs of a Sourdough from In Our Time: Covers for a Small Library After the Life for the Most Part","R. B. Kitaj","3121","(American, 1932–2007)","(American)","(1932)","(2007)","(Male)","1969","One from a portfolio of fifty screenprints, some with collage additions","composition (irreg.): 18 3/8 x 16 1/2"" (46.7 x 41.9cm); sheet: 30 3/8 x 22 9/16"" (77.2 x 57.3cm)","John B. Turner Fund","182.1970.10","Print","Drawings & Prints",1970-05-12,"Y",63869,"http://www.moma.org/collection/works/63869","http://www.moma.org/media/W1siZiIsIjI1MzY0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6ae1b02d03591b64",NA,NA,NA,46.7,NA,NA,41.9,NA,NA
"Rasskaz o tom, putem kakim s bedoi upravilsia Akim","Ivan Manatiev","24010",NA,"()","(0)","(0)","(Male)","1925",NA,"Page: 8 3/4 x 5 15/16"" (22.2 x 15.1 cm)","Gift of The Judith Rothschild Foundation","636.2001","Illustrated Book","Drawings & Prints",2001-01-24,"N",19836,NA,NA,NA,NA,NA,22.2,NA,NA,15.1,NA,NA
"The Nutty Professor storyboards","John Jensen, Jerry Lewis","74235, 69618","(American, 1924–2003) (American, 1926–2017)","(American) (American)","(1924) (1926)","(2003) (2017)","() (Male)",NA,NA,"11 × 8 1/2"" (27.9 × 21.6 cm)","Gift of Chris Lewis","819642.216","(not assigned)","Film",NA,"N",282872,NA,NA,NA,0,NA,27.9400558801,NA,NA,21.5900431801,NA,NA
"Member of a Splinter Party","August Sander","5145","(German, 1876–1964)","(German)","(1876)","(1964)","(Male)","1931","Gelatin silver print","10 3/16 × 7 3/8"" (25.8 × 18.7 cm)","Acquired through the generosity of the family of August Sander","472.2015.375","Photograph","Photography",2015-05-28,"Y",194007,"http://www.moma.org/collection/works/194007","http://www.moma.org/media/W1siZiIsIjMyOTE5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b44d024b886a2296",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boomerang Lounge Chair","Rodolfo Bonetto","659","(Italian, 1929–1991)","(Italian)","(1929)","(1991)","(Male)","1968","Polyurethane, chrome-plated plastic, and fabric","26 x 29 1/8 x 37"" (66 x 74 x 94 cm)","Gift of the manufacturer","394.1972","Design","Architecture & Design",1972-12-05,"Y",3736,"http://www.moma.org/collection/works/3736","http://www.moma.org/media/W1siZiIsIjIxMTI0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c3ec20789b754b86",NA,94,NA,66,NA,NA,74,NA,NA
"Plate (folio 15) from Salute","Grace Hartigan","2520","(American, 1922–2008)","(American)","(1922)","(2008)","(Female)","1960","Screenprint from an illustrated book with five screenprints","composition (irreg.): 17 1/4 × 13 7/8"" (43.8 × 35.3 cm); page: 17 5/16 × 14 1/8"" (44 × 35.8 cm)","Gift of Richard Miller","128.1964.5","Illustrated Book","Drawings & Prints",1964-02-11,"Y",11415,"http://www.moma.org/collection/works/11415","http://www.moma.org/media/W1siZiIsIjE4OTY0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=baaa21e5233707bb",NA,NA,NA,43.8,NA,NA,35.3,NA,NA
"Chicago Landscape #308","Art Sinsabaugh","5450","(American, 1924–1983)","(American)","(1924)","(1983)","(Male)","1966","Gelatin silver print","7 7/8 × 19 3/8"" (20.0 × 49.3 cm)","Purchase","554.1973","Photograph","Photography",1973-11-13,"Y",55072,"http://www.moma.org/collection/works/55072","http://www.moma.org/media/W1siZiIsIjIwMTY2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=455bc28257a35529",NA,NA,NA,20,NA,NA,49.3,NA,NA
"Untitled","Joseph Glasco","2187","(American, 1925–1996)","(American)","(1925)","(1996)","(Male)","1982","Synthetic polymer paint with canvas collage mounted on canvas","60 1/8"" x 9' 7 1/4"" (152.6 x 297.7 cm)","Arnold A. Saltzman Fund","205.1982","Painting","Painting & Sculpture",1982-10-12,"Y",79135,"http://www.moma.org/collection/works/79135","http://www.moma.org/media/W1siZiIsIjMwMjM3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a3e00b93f60bff8e",NA,NA,NA,152.6,NA,NA,297.7,NA,NA
"Women's Equality from Kent Bicentennial Portfolio: Spirit of Independence","Marisol (Marisol Escobar)","3774","(Venezuelan, born France. 1930–2016)","(Venezuelan)","(1930)","(2016)","(Female)","1975","Lithograph from a portfolio of six lithographs, four screenprints (one with collage additions), and two lithograph and screenprints","composition (irreg.): 34 3/8 × 29 1/2"" (87.3 × 74.9 cm); sheet: 41 7/8 × 29 1/2"" (106.3 × 74.9 cm)","Gift of Lorillard, A Division of Loews Theatres, Inc.","503.1976.9","Print","Drawings & Prints",1976-11-10,"Y",70222,"http://www.moma.org/collection/works/70222",NA,NA,NA,NA,87.3,NA,NA,74.9,NA,NA
"Tentoonstelling Groningen, 15 Juni-15 Augustus 1903","Gerardus Hendrik (Geert) Grauss","2304","(Dutch, 1882–1929)","(Dutch)","(1882)","(1929)","(Male)","1903","Lithograph","48 3/4 x 31 3/4"" (123.8 x 80.7 cm)","Gift of Peter Müller-Munk","546.1943","Design","Architecture & Design",1943-05-12,"Y",7489,"http://www.moma.org/collection/works/7489","http://www.moma.org/media/W1siZiIsIjIxMTYzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=216e1de83b176c25",NA,NA,NA,123.8,NA,NA,80.7,NA,NA
"Album cover for The Who, Face Dances","Peter Blake, Richard Evans, Clive Barker, Brian Aris, Gavin Cochrane, Warner Bros. Records, Bill Jacklin, Tom Phillips, Colin Self, Richard Hamilton, Michael Andrews, Allen Jones, David Inshaw, David Hockney, R. B. Kitaj, Howard Hodgkin, Patrick Caulfield, Joe Tilson, Patrick Procktor, David Tindle","592, 46492, 46469, 46775, 46774, 26772, 2857, 4603, 5334, 2481, 46467, 2931, 46468, 2678, 3121, 2679, 1039, 5879, 4744, 46471","(British, born 1932) (British, born 1945) (British, born 1952) (British, born 1946) (British) (founded 1958) (British, born 1943) (British, born 1937) (British, born 1941) (British, 1922–2011) (British, 1928–1995) (British, born 1937) (British, born 1943) (British, born 1937) (American, 1932–2007) (British, 1932–2017) (British, 1936–2005) (British, born 1928) (British, 1936–2003) (British, born 1932)","(British) (British) (British) (British) (British) () (British) (British) (British) (British) (British) (British) (British) (British) (American) (British) (British) (British) (British) (British)","(1932) (1945) (1952) (1946) (0) (1958) (1943) (1937) (1941) (1922) (1928) (1937) (1943) (1937) (1932) (1932) (1936) (1928) (1936) (1932)","(0) (0) (0) (0) (0) (0) (0) (0) (0) (2011) (1995) (0) (0) (0) (2007) (2017) (2005) (0) (2003) (0)","(Male) (Male) (Male) (Male) (Male) () (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male)","1981","Lithograph","12 x 12"" (30.5 x 30.5 cm)","Committee on Architecture and Design Funds","778.2014","Design","Architecture & Design",2014-10-06,"Y",185462,"http://www.moma.org/collection/works/185462","http://www.moma.org/media/W1siZiIsIjMwNTYwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=58523c86361c7370",NA,NA,NA,30.4800609601,NA,NA,30.4800609601,NA,NA
"The Tree (L'Arbre)","André Masson","3821","(French, 1896–1987)","(French)","(1896)","(1987)","(Male)","1959","Lithograph","composition (irreg.): 23 15/16 x 16 1/4"" (60.8 x 41.2cm); sheet: 25 3/16 x 19 9/16"" (64 x 49.7cm)","Gift of the Saidenberg Gallery","539.1960","Print","Drawings & Prints",1960-09-21,"Y",70800,"http://www.moma.org/collection/works/70800","http://www.moma.org/media/W1siZiIsIjIxNzg3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aeeab12907db51a6",NA,NA,NA,60.8,NA,NA,41.2,NA,NA
"Vase","Josef Hoffmann","2694","(Austrian, 1870–1956)","(Austrian)","(1870)","(1956)","(Male)","c. 1938","Glass","5 7/8 x 4 1/2"" (15 x 11.5 cm)","Gift of Wilhelm Wagenfeld","272.1958","Design","Architecture & Design",1958-12-04,"Y",3157,"http://www.moma.org/collection/works/3157","http://www.moma.org/media/W1siZiIsIjIxMDk0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=87c697d7a1b52a80",NA,NA,11.5,15,NA,NA,NA,NA,NA
"Man with Pamphlets","Lisette Model","4036","(American, born Austria. 1901–1983)","(American)","(1901)","(1983)","(Female)","1938","Gelatin silver print","19 5/8 × 15 15/16"" (49.8 × 40.5 cm)","Gift of the artist","1211.1964","Photograph","Photography",1964-11-10,"Y",57899,"http://www.moma.org/collection/works/57899","http://www.moma.org/media/W1siZiIsIjIwMDk0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c847337fd2dc5335",NA,NA,NA,49.8,NA,NA,40.5,NA,NA
"Bridge over a Nice Triangle Tree (double page fold-out plate, folios 27 and 28) from Bridge Book","Siah Armajani","219","(American, born Iran. 1939–2020)","(American)","(1939)","(2020)","(Male)","1991","Woodcut from an illustrated book with seven woodcuts (one with letterpress and one with collaged letterpress)","composition (irreg.): 8 1/2 × 24 7/8"" (21.6 × 63.2 cm); page (unfolded): 9 7/16 × 25 9/16"" (23.9 × 65 cm)","John B. Turner Fund","151.1992.6","Illustrated Book","Drawings & Prints",1992-01-22,"Y",12023,"http://www.moma.org/collection/works/12023",NA,NA,NA,NA,21.6,NA,NA,63.2,NA,NA
"Plate 6 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition","Louise Bourgeois","710","(American, born France. 1911–2010)","(American)","(1911)","(2010)","(Female)","1995-2003","Engraving over photogravure, with hand additions","plate: 7 3/16 x 5 3/16"" (18.2 x 13.1 cm); sheet: 11 5/8 x 8 1/16"" (29.5 x 20.5 cm)","Gift of the artist","1345.2008","Print","Drawings & Prints",2008-10-08,"Y",119412,"http://www.moma.org/collection/works/119412","http://www.moma.org/media/W1siZiIsIjE1NjI5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ca92e68c4d6714f7",NA,NA,NA,18.2,NA,NA,13.1,NA,NA
"Untitled from Favorite Objects","Christian Boltanski","649","(French, born 1944)","(French)","(1944)","(0)","(Male)","1998","One from a portfolio of 264 color Xeroxes","composition: 10 13/16 x 8 5/16"" (27.4 x 21.1 cm); sheet: 11 x 8 9/16"" (28 x 21.7 cm)","Gift of Lee and Ann Fensterstock, in honor of their daughters, Kate and Jane","155.1999.204","Print","Drawings & Prints",1999-05-20,"N",134131,NA,NA,NA,NA,NA,27.4,NA,NA,21.1,NA,NA
"Zephyr","Zephyr (Andrew Witten)","6841","(American, born 1960)","(American)","(1960)","(0)","(Male)","1986","Ink, enamel, colored pencil and watercolor on paper","14 × 14 5/8"" (35.6 × 37.1 cm)","Gift of the Gilbert B. and Lila Silverman Instruction Drawing Collection, Detroit","1622.2018","Drawing","Drawings & Prints",2018-11-05,"N",289477,NA,NA,NA,NA,NA,35.5600711201,NA,NA,37.1475742951,NA,NA
"red strokes","Suzan Frecon","8092","(American, born 1941)","(American)","(1941)","(0)","(Female)","(1998)","Watercolor on Japanese paper
","14 1/2 x 18 1/2"" (36.8 x 47 cm)","The Judith Rothschild Foundation Contemporary Drawings Collection Gift","1682.2005","Drawing","Drawings & Prints",2005-05-10,"Y",95948,"http://www.moma.org/collection/works/95948","http://www.moma.org/media/W1siZiIsIjExNTc0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e6674bf11a838a53",NA,NA,NA,36.8301,NA,NA,46.9901,NA,NA
"FONTAINE CHILDEBERT. SQUARE MONGE","Eugène Atget","229","(French, 1857–1927)","(French)","(1857)","(1927)","(Male)","1901","Albumen silver print",NA,"Abbott-Levy Collection. Partial gift of Shirley C. Burden","1.1969.1986","Photograph","Photography",1968-03-06,"N",39975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poster of the French National Railroad","Album-miscellaneous","101","(Various)","()","(0)","(0)","()","1900-1943",NA,NA,"Gift of the French National Railroads","65.1943.308","Design","Architecture & Design",1943-02-18,"N",163127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Versailles -- Coin de Parc","Eugène Atget","229","(French, 1857–1927)","(French)","(1857)","(1927)","(Male)","1902","Albumen silver print","7 1/16 × 8 1/4"" (18 × 21 cm)","Abbott-Levy Collection. Partial gift of Shirley C. Burden","1.1969.99","Photograph","Photography",1968-03-06,"Y",43854,"http://www.moma.org/collection/works/43854","http://www.moma.org/media/W1siZiIsIjMxODIyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5b4b3acef01b0711",NA,NA,NA,18,NA,NA,21,NA,NA
