"","Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference..cm.","Depth..cm.","Diameter..cm.","Height..cm.","Length..cm.","Weight..kg.","Width..cm.","Seat.Height..cm.","Duration..sec.."
"104476","Writing (Ecriterie) from the portfolio Scrap Plates II (Planches de rebut II) from Phenomena (Les Phénomènes)","Jean Dubuffet","1633","(French, 1901–1985)","(French)","(1901)","(1985)","(Male)","1961","One from a portfolio of twenty lithographs","composition: 21 3/16 x 15 11/16"" (53.8 x 39.8 cm); sheet: 25 3/16 x 17 13/16"" (64 x 45.2 cm)","Gift of Mr. and Mrs. Ralph F. Colin","744.1965.15","Print","Prints & Illustrated Books","1965-11-09","Y",143424,"http://www.moma.org/collection/works/143424","http://www.moma.org/media/W1siZiIsIjIwNTg2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0f409b744ab0ecfb",NA,NA,NA,53.8,NA,NA,39.8,NA,NA
"96590","Five Places, Thursday, and Smoke","George Brecht","756","(American, 1926–2008)","(American)","(1926)","(2008)","(Male)","1963","Ink on paper, mounted on graph paper","sheet (irreg.): 11 x 8 5/16"" (28 x 21.1 cm)","The Gilbert and Lila Silverman Fluxus Collection Gift","2081.2008","Drawing","Prints & Illustrated Books","2008-10-08","Y",127322,"http://www.moma.org/collection/works/127322","http://www.moma.org/media/W1siZiIsIjI3MTczNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cda185f2f9437bc6",NA,NA,NA,28,NA,NA,21.1,NA,NA
"25983","Untitled (Tiflis)","Kirill Zdanevich","11875","(Russian, 1892–1969)","(Russian)","(1892)","(1969)","(Male)","(c. 1930s)","Pen and ink","Sheet: 8 1/16 x 12 1/8"" (20.5 x 30.8 cm)","Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive)","894.2001","Illustrated Book","Prints & Illustrated Books","2001-01-24","N",27356,NA,NA,NA,NA,NA,20.5,NA,NA,30.8,NA,NA
"104093","Haircut No. 1","Andy Warhol","6246","(American, 1928–1987)","(American)","(1928)","(1987)","(Male)","1963","16mm film (black and white, silent)","24 min.","Gift of The Andy Warhol Foundation for the Visual Arts, Inc.","11017","Film","Film","1983-03-01","N",142343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1440
"87950","Untitled (page from Sump)","Jerome Neuner","25520","(American, born 1945)","(American)","(1945)","(0)","(Male)","1994","Page with chromogenic color print and text","12 x 9 1/2"" (30.5 x 24.1 cm)","E.T. Harmax Foundation Fund","415.2006.22","Photograph","Photography","2006-05-11","N",103331,NA,NA,NA,NA,NA,30.4801,NA,NA,24.13,NA,NA
"72696","DUNES","Alfred Young","6517","(Nationality unknown)","(Nationality unknown)","(0)","(0)","(Male)","(April 14-May 5, 1967)","Lithograph, printed in color","composition  25 15/16 x 13 15/16"" (66 x 35.5 cm)
sheet  27 x 14 15/16"" (68.6 x 38 cm)","Gift of Kleiner, Bell & Co.","2096.1967","Print","Prints & Illustrated Books","1974-01-10","N",77993,NA,NA,NA,NA,NA,66,NA,NA,35.5,NA,NA
"120689","Hotel Event, performed at Waldorf Astoria, New York, June 11, 1966","Hi Red Center","36946","(Japanese, active 1963–64)","()","(1963)","(1964)","()","1966","Gelatin silver print","image: 4 3/16 x 4 5/16"" (10.7 x 11 cm); sheet: 6 15/16 x 4 15/16"" (17.7 x 12.6 cm)","The Gilbert and Lila Silverman Fluxus Collection Gift","3204.2008.23","Photograph","Prints & Illustrated Books","2008-10-08","N",184366,NA,NA,NA,NA,NA,10.7,NA,NA,11,NA,NA
"54986","CAMBRIDGE, MASSACHUSETTS","Elliott Erwitt","1756","(American, born France 1928)","(American)","(1928)","(0)","(Male)","1956","Gelatin silver print","13 3/8 x 9"" (33.9 x 22.9 cm)","Gift of the photographer","1422.1968","Photograph","Photography","1968-11-06","N",58145,NA,NA,NA,NA,NA,33.9,NA,NA,22.9,NA,NA
"21125","Headpiece and pictorial initial for Chapter VII (page 165) from LES ÂMES MORTES","Marc Chagall","1055","(French, born Belarus. 1887–1985)","(French)","(1887)","(1985)","(Male)","1923-1948","Etching, printed in black","Headpiece (comp. irreg.): 4 5/16 x 6 15/16"" (10.9  x 17.7 cm)  Initial (comp. irreg.): 1 3/8 x 1 11/16"" (3.5 x  4.3 cm)","The Louis E. Stern Collection","749.1964.B02","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",22496,NA,NA,NA,NA,NA,10.9,NA,NA,17.7,NA,NA
"120748","Stage set design for ""A Midsummer Night's Dream"" at the Heidelberg Festival","Hans Poelzig","8100","(German, 1869–1936)","(German)","(1869)","(1936)","(Male)","1926","Pencil on paper","5 1/2 x 8 5/8"" (14 x 21.9 cm)","Committee on Architecture and Design Funds","320.2014.16","Architecture","Architecture & Design","2014-05-19","Y",184426,"http://www.moma.org/collection/works/184426","http://www.moma.org/media/W1siZiIsIjMwMjc2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=742911b5f2019c5e",NA,NA,NA,13.9700279401,NA,NA,21.9075438151,NA,NA
"30934","Phrase Book","Fred Tomaselli","7673","(American, born 1956)","(American)","(1956)","(0)","(Male)","2000","Illustrated book with three woodcuts, one etching, and seven photolithographs","box composition  14 1/2 x 10 13/16 x 1 7/8"" (36.9 x 27.5 x 4.8 cm)
page  12 15/16 x 9 7/8"" (32 x 25.1 cm)","Gift of Linda Barth Goldstein","1531.2001","Illustrated Book","Prints & Illustrated Books","2001-05-24","N",32326,NA,NA,NA,4.8,NA,36.9,NA,NA,27.5,NA,NA
"31776","Birch Tree","Vasily Yakovlovich Sitnikov","5458","(Russian, 1915–1987)","(Russian)","(1915)","(1987)","(Male)","(1961)","Crayon on paper","32 x 22 3/8"" (81.3 x 56.9 cm)","Purchase","25.1968","Drawing","Drawings","1968-02-05","Y",33339,"http://www.moma.org/collection/works/33339",NA,NA,NA,NA,81.3,NA,NA,56.8,NA,NA
"83718","Stolen Kisses","Polly Apfelbaum","8328","(American, born 1955)","(American)","(1955)","(0)","(Female)","(2002)","Cut-and-pasted dyed velvet on pillowcase
","15 1/2 x 11 3/4"" (39.4 x 29.8 cm)","The Judith Rothschild Foundation Contemporary Drawings Collection Gift","1177.2005","Drawing","Drawings","2005-05-10","Y",95411,"http://www.moma.org/collection/works/95411","http://www.moma.org/media/W1siZiIsIjExNDU5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=722bab1c599950ec",NA,NA,NA,39.3701,NA,NA,29.8451,NA,NA
"51828","Postman, Newport, Rhode Island","Marshall Hall","2464","(American)","(American)","(0)","(0)","(Male)","c. 1912","Gelatin silver print, printed 1970","5 x 4"" (12.5 x 10.0 cm)","Purchase","543.1970","Photograph","Photography","1970-10-27","Y",54925,"http://www.moma.org/collection/works/54925","http://www.moma.org/media/W1siZiIsIjIxMzcwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=495daebb18cf4145",NA,NA,NA,12.5,NA,NA,10,NA,NA
"118689","Mirror Performance, New York","Yayoi Kusama, Harry Shunk, János Kender","3315, 8247, 38024","(Japanese, born 1929) (German, 1924–2006) (Hungarian, 1937–2009)","(Japanese) (French) (Hungarian)","(1929) (1924) (1937)","(0) (2006) (2009)","(Female) (Male) (Male)","1968","Gelatin silver print","7 13/16 x 9 3/4"" (19.9 x 24.7 cm)","Gift of the Roy Lichtenstein Foundation in memory of Harry Shunk and János Kender","1016.2013.28","Photograph","Photography","2013-10-24","Y",177044,"http://www.moma.org/collection/works/177044","http://www.moma.org/media/W1siZiIsIjI5NTc2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fed9faa74684d931",NA,NA,NA,19.9,NA,NA,24.7,NA,NA
"36997","VERSAILLES (CHÂTEAU)","Eugène Atget","229","(French, 1857–1927)","(French)","(1857)","(1927)","(Male)","1903","Albumen silver print",NA,"Abbott-Levy Collection. Partial gift of Shirley C. Burden","1.1969.169","Photograph","Photography","1968-03-06","N",39646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43408","FAMINE IN INDIA","Werner Bischof","566","(Swiss, 1916–1954)","(Swiss)","(1916)","(1954)","(Male)","1952","Gelatin silver print","13 x 9 3/4"" (32.9 x 24.9 cm)","Gift of Mrs. Werner Bischof and Magnum Photos, Inc.","96.1959","Photograph","Photography","1959-04-22","N",46199,NA,NA,NA,NA,NA,32.9,NA,NA,24.9,NA,NA
"86206","Untitled","Unknown photographer","8595",NA,"()","(0)","(0)","()","c. 1900","Gelatin silver print","2 1/2 x 3 3/8"" (6.3 x 8.6 cm)","Gift of Thomas Walther","440.2005","Photograph","Photography","2005-05-11","Y",98156,"http://www.moma.org/collection/works/98156","http://www.moma.org/media/W1siZiIsIjI5MjkzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7e74dd6170d35dce",NA,NA,NA,6.3,NA,NA,8.6,NA,NA
"40336","Bouillon-Blanc","Eugène Atget","229","(French, 1857–1927)","(French)","(1857)","(1927)","(Male)","1921","Albumen silver print",NA,"Abbott-Levy Collection. Partial gift of Shirley C. Burden","1.1969.4719","Photograph","Photography","1968-03-06","N",43011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99180","Stockholm Master Plan, project","Jean Tschumi","37694","(Swiss, 1904–1962)","(Swiss)","(1904)","(1962)","(Male)","1932","Pencil on tracing paper","14 x 21"" (35.6 x 53.3 cm)","Gift of Bernard Tschumi","1290.2009","Architecture","Architecture & Design","2009-11-16","Y",132365,"http://www.moma.org/collection/works/132365","http://www.moma.org/media/W1siZiIsIjE3MjcxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2594d1bca9e45e47",NA,NA,NA,35.5600711201,NA,NA,53.3401066802,NA,NA
"79199","Count Fredericks Speaking to Young Boys in Uniforms, Krasnoe Selo","Unknown photographer","8595",NA,"()","(0)","(0)","()","July 4-6, 1909","Gelatin silver printing-out-paper print","3 3/8 x 11 1/4"" (8.6 x 28.6 cm)","Acquired through the generosity of Howard Stein","483.2011.48","Photograph","Photography","2001-06-14","Y",86397,"http://www.moma.org/collection/works/86397",NA,NA,NA,NA,8.6,NA,NA,28.6,NA,NA
"17022","Samoe glavnoe. Dlia kogo komediia, a dlia kogo i drama v 4-kh deistviiakh","A. Vabbe","23744",NA,"()","(0)","(0)","()","1921",NA,"Page: 8 9/16 x 5 5/8"" (21.7 x 14.3 cm)","Gift of The Judith Rothschild Foundation","549.2001","Illustrated Book","Prints & Illustrated Books","2001-01-24","N",18355,NA,NA,NA,NA,NA,21.7,NA,NA,14.3,NA,NA
"8483","Double page plate (folios 11 verso and 12) from SALT NOTES","James Brown","806","(American, born 1951)","(American)","(1951)","(0)","(Male)","1989-1990","Lithograph, printed in color","irreg. composition  22 1/16 x 35 1/2"" (56 x 90.2 cm)","Purchase","22.1991.12","Illustrated Book","Prints & Illustrated Books","1991-01-23","N",9633,NA,NA,NA,NA,NA,56,NA,NA,90.2,NA,NA
"31055","Double page title page from PARADE FUNÈBRE POUR CHARLES ESTIENNE","Jean Dubuffet","1633","(French, 1901–1985)","(French)","(1901)","(1985)","(Male)","1967",NA,"irreg. composition  10 5/8 x 16 7/8"" (27 x 42.8 cm)","Gift of Mr. and Mrs. Ralph F. Colin","2208.1967.2","Illustrated Book","Prints & Illustrated Books","1967-10-18","N",32467,NA,NA,NA,NA,NA,27,NA,NA,42.8,NA,NA
"123452","La América del Che","Carmelo González","48013","(Cuban)","(Cuban)","(0)","(0)","(Male)","1969","Screenprint","18 5/8 x 14 3/4"" (47.3 x 37.5 cm)","Anonymous gift","799.2015","Design","Architecture & Design","2015-06-04","Y",192495,"http://www.moma.org/collection/works/192495",NA,NA,NA,NA,47.3075946152,NA,NA,37.4650749301,NA,NA
"46062","Foamy Aftershave (L-Foamy; R-Aftershave)","William Wegman","6281","(American, born 1943)","(American)","(1943)","(0)","(Male)","1982","Color instant prints","Each: 28 1/2 x 22"" (72.4 x 55.9 cm)","Gift of Robert and Gayle Greenhill","222.1994","Photograph","Photography","1994-03-10","Y",48956,"http://www.moma.org/collection/works/48956","http://www.moma.org/media/W1siZiIsIjkzMjg4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=a4a8767f335f33a4",NA,NA,NA,60,NA,NA,105.5,NA,NA
"30131","HEAD (plate, folio 61) from WOODCUTS","Max Weber","6275","(American, born Russia. 1881–1961)","(American)","(1881)","(1961)","(Male)","(Print executed 1920)","Linoleum cut, printed in color","irreg. composition  3 7/8 x 2 11/16"" (9.8 x 6.8 cm)","The Louis E. Stern Collection","1092.1964.31","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",31505,NA,NA,NA,NA,NA,9.8,NA,NA,6.8,NA,NA
"68206","Untitled from Runaways","Glenn Ligon","6902","(American, born 1960)","(American)","(1960)","(0)","(Male)","1993","One from a portfolio of ten lithographs","composition (irreg.): 13 3/8 x 8 15/16"" (34 x 22.7 cm); sheet: 16 x 12"" (40.7 x 30.5 cm)","The Ralph E. Shikes Fund","675.1993.7","Print","Prints & Illustrated Books","1993-11-17","Y",73013,"http://www.moma.org/collection/works/73013","http://www.moma.org/media/W1siZiIsIjE5MjgwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1a291122f4a1db4e",NA,NA,NA,34,NA,NA,22.7,NA,NA
"17397","HOUSE OF INCEST","Ian (Hugh Guiler) Hugo","2756","(American, 1898–1985)","(American)","(1898)","(1985)","(Male)","1947.  (Prints executed 1943-1947).","3 engravings, printed in black; 2 soft ground etching and engravings, relief printed in black; and 1 engraving and woodcut with gouache additions (front cover), printed in color","irreg. page  16 7/16 x 11 13/16"" (41 x 30 cm)
Prints: various dimensions.","Purchase","575.1949.1-6","Illustrated Book","Prints & Illustrated Books","1949-09-29","N",18733,NA,NA,NA,NA,NA,41,NA,NA,30,NA,NA
"38909","ÉCOLE DES BEAUX-ARTS. LES 7 OEUVRES DE MISÉRICORDE. LUCA DELLA ROBBIA","Eugène Atget","229","(French, 1857–1927)","(French)","(1857)","(1927)","(Male)","1903","Albumen silver print",NA,"Abbott-Levy Collection. Partial gift of Shirley C. Burden","1.1969.3410","Photograph","Photography","1968-03-06","N",41559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29586","FRUIT TREES (plate; volume II, page 93) from LES GÉORGIQUES (GEORGICA)","André Dunoyer de Segonzac","5318","(French, 1884–1974)","(French)","(1884)","(1974)","(Male)","1933-1947","Etching, printed in black","plate  11 1/2 x 9 5/8"" (29.3 x 24.4 cm)","The Louis E. Stern Collection","1055.1964.B27","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",30960,NA,NA,NA,NA,NA,29.3,NA,NA,24.4,NA,NA
"15696","Plate (facing page 72) from THE SUICIDE CLUB","Karl Schrag","5268","(American, 1912–1995)","(American)","(1912)","(1995)","(Male)","1941",NA,"plate  6 15/16 x 4 7/16"" (17.7 x 11.3 cm)","Gift of Mrs. Stanley Resor","425.1958.11","Illustrated Book","Prints & Illustrated Books","1959-03-02","N",17004,NA,NA,NA,NA,NA,17.7,NA,NA,11.3,NA,NA
"63232","Girls' Games in Laghouat (Jeux de fillettes a Laghouat) from L'Estampe Moderne, Number 13","E. Dinet","6686","(French, 1861–1929)","(French)","(1861)","(1929)","(Male)","published May 1898","Lithograph from a portfolio of four lithographs",NA,"Mr. and Mrs. E. Powis Jones Fund","354.1958.2","Print","Prints & Illustrated Books","1958-12-19","N",67549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114880","LVMH Tower, New York, NY (Site model)","Christian de Portzamparc","7470","(French, born 1944)","(French)","(1944)","(0)","(Male)","1994-1999","Paper and cardboard","16 1/8 x 17 5/16 x 9 13/16"" (41 x 44 x 25 cm)","Gift of the architect","684.2013","Architecture","Architecture & Design","2013-06-03","Y",168046,"http://www.moma.org/collection/works/168046","http://www.moma.org/media/W1siZiIsIjI3OTA0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fee86c2a84d43c49",NA,25,NA,41,NA,NA,44,NA,NA
"124304","Painter and Sculptor [Otto Freundlich]","August Sander","5145","(German, 1876–1964)","(German)","(1876)","(1964)","(Male)","c. 1925","Gelatin silver print","10 3/16 x 7 3/8"" (25.8 x 18.7 cm)","Acquired through the generosity of the family of August Sander","472.2015.417","Photograph","Photography","2015-05-28","Y",194049,"http://www.moma.org/collection/works/194049","http://www.moma.org/media/W1siZiIsIjMyOTIxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=df399795a9974789",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83402","Dilapidated Wall (Mur délabré) from the portfolio Spaces and Places (Aires et lieux) from Phenomena (Les Phénomènes)","Jean Dubuffet","1633","(French, 1901–1985)","(French)","(1901)","(1985)","(Male)","1958","One from a portfolio of ten lithographs","composition: 18 1/4 x 14 7/8"" (46.3 x 37.8 cm); sheet: 24 15/16 x 17 11/16"" (63.3 x 44.9 cm)","Gift of Mr. and Mrs. Ralph F. Colin","723.1965.10","Print","Prints & Illustrated Books","1965-11-09","Y",94711,"http://www.moma.org/collection/works/94711","http://www.moma.org/media/W1siZiIsIjIwNDM4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=752e6f98d967e42a",NA,NA,NA,46.3,NA,NA,37.8,NA,NA
"75316","Portrait","Louise Bourgeois","710","(American, born France. 1911–2010)","(American)","(1911)","(2010)","(Female)","1963","Latex","15 3/8 x 12 3/8 x 4 1/8"" (39 x 31.5 x 10.5 cm)","Gift of Arthur Drexler","385.1986","Sculpture","Painting & Sculpture","1986-12-08","Y",81415,"http://www.moma.org/collection/works/81415","http://www.moma.org/media/W1siZiIsIjIwODg2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1ddf7136498f08ed",NA,10.5,NA,39,NA,NA,31.5,NA,NA
"116279","Court House Project, Plan","Ludwig Mies van der Rohe","7166","(American, born Germany. 1886–1969)","(American)","(1886)","(1969)","(Male)","c. 1935","Pencil on tracing paper","16 1/2 x 11 3/4"" (41.9 x 29.8 cm)","Mies van der Rohe Archive, gift of the architect
","MR43.209","Mies van der Rohe Archive","Architecture & Design",NA,"Y",170166,"http://www.moma.org/collection/works/170166","http://www.moma.org/media/W1siZiIsIjI3MjA3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8804693938b24b1d",NA,NA,NA,41.9101,NA,NA,29.8451,NA,NA
"20400","Plate 1 (suite of rejected etchings) from SAINTE MONIQUE","Pierre Bonnard","665","(French, 1867–1947)","(French)","(1867)","(1947)","(Male)","1920-1930","Soft ground etching, printed in black","plate  6 3/4 x 6 3/16"" (17.2 x 15.7 cm)","The Louis E. Stern Collection","697.1964.170","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",21768,NA,NA,NA,NA,NA,17.2,NA,NA,15.7,NA,NA
"33730","Members of the Community","James Forsberg","1944","(American, 1919–1991)","(American)","(1919)","(1991)","(Male)","1951","Brush and ink on paper","14 x 17"" (35.4 x 42.9 cm)","Purchase","263.1956","Drawing","Drawings","1956-10-09","Y",35732,"http://www.moma.org/collection/works/35732",NA,NA,NA,NA,35.6,NA,NA,43.2,NA,NA
"65980","On the Bridge in Lodi (Auf der Brücke von Lodi)  from the portfolio Das Buch Le Grand","Max Oppenheimer (MOPP)","4073","(American, born Austria. 1885–1954)","(American)","(1885)","(1954)","(Male)","(1913, published 1914)","Drypoint","plate: 4 13/16 x 4 5/16"" (12.3 x 11 cm); sheet: 15 3/8 x 11 1/16"" (39.1 x 28.1 cm)","Given anonymously","528.1942","Print","Prints & Illustrated Books","1942-11-19","Y",70586,"http://www.moma.org/collection/works/70586","http://www.moma.org/media/W1siZiIsIjE4MDIyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=de5133100508ddb2",NA,NA,NA,12.3,NA,NA,11,NA,NA
"124276","Writer and Theater Critic [Franz Paul Brückner]","August Sander","5145","(German, 1876–1964)","(German)","(1876)","(1964)","(Male)","c. 1926","Gelatin silver print","10 3/16 x 7 3/8"" (25.8 x 18.7 cm)","Acquired through the generosity of the family of August Sander","472.2015.389","Photograph","Photography","2015-05-28","Y",194021,"http://www.moma.org/collection/works/194021","http://www.moma.org/media/W1siZiIsIjMzMTk4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8371a4c0da336f34",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65288","Flying Pizza for the portfolio New York Ten","Claes Oldenburg","4397","(American, born Sweden 1929)","(American)","(1929)","(0)","(Male)","(1964)","Lithograph","irreg composition  15 9/16 x 21 3/8"" (39.6 x 54.3 cm)
sheet  22 1/4 x 30 1/8"" (56 x 76.5 cm)","Gift of Dr. and Mrs. Aaron H. Esman","478.1986","Print","Prints & Illustrated Books","1987-01-15","Y",69781,"http://www.moma.org/collection/works/69781","http://www.moma.org/media/W1siZiIsIjI1MzgwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dab0282dc2796f0b",NA,NA,NA,39.6,NA,NA,54.3,NA,NA
"32763","People on the Jetty (Leute auf See-Steg)","Lyonel Feininger","1832","(American, 1871–1956)","(American)","(1871)","(1956)","(Male)","1918","Watercolor and ink on paper","7 5/8 x 11 1/2"" (19.4 x 29.2 cm)","Gift of Julia Feininger","127.1966","Drawing","Drawings","1966-02-08","Y",34461,"http://www.moma.org/collection/works/34461","http://www.moma.org/media/W1siZiIsIjEyMDA0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e575f9594e81b03e",NA,NA,NA,19.3675,NA,NA,29.2,NA,NA
"40206","HEURTOIR. 18 RUE DU CHERCHE-MIDI","Eugène Atget","229","(French, 1857–1927)","(French)","(1857)","(1927)","(Male)","1902","Albumen silver print",NA,"Abbott-Levy Collection. Partial gift of Shirley C. Burden","1.1969.4592","Photograph","Photography","1968-03-06","N",42870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53443","Untitled Film Still #12","Cindy Sherman","5392","(American, born 1954)","(American)","(1954)","(0)","(Female)","1978","Gelatin silver print","7 1/2 x 9 7/16"" (19.1 x 24 cm)","Grace M. Mayer Fund","821.1995","Photograph","Photography","1995-12-14","Y",56571,"http://www.moma.org/collection/works/56571","http://www.moma.org/media/W1siZiIsIjk5MTkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=060cc74b6ec7a863",NA,NA,NA,19.1,NA,NA,24,NA,NA
"84200","Herding Tourists","Inka Essenhigh","8191","(American, born 1969)","(American)","(1969)","(0)","(Female)","2003","Oil on paper","18 x 23 1/2"" (45.7 x 59.7 cm)","The Judith Rothschild Foundation Contemporary Drawings Collection Gift","1633.2005","Drawing","Drawings","2005-05-10","Y",95902,"http://www.moma.org/collection/works/95902","http://www.moma.org/media/W1siZiIsIjEzNDE5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cec8d20e39304700",NA,NA,NA,45.7200914402,NA,NA,59.6901193802,NA,NA
"90518","Untitled from Gymnasium Chases","Christian Boltanski","649","(French, born 1944)","(French)","(1944)","(0)","(Male)","1991 (project begun 1989).","One from a portfolio of twenty-four photogravures","plate: 18 1/8 x 12 1/2"" (46.1 x 31.8 cm); sheet: 23 3/8 x 16 9/16"" (59.3 x 42 cm)","The Associates Fund","379.1991.7","Print","Prints & Illustrated Books","1992-01-22","Y",108931,"http://www.moma.org/collection/works/108931","http://www.moma.org/media/W1siZiIsIjE4MDIxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3f857859f0699ada",NA,NA,NA,46.1,NA,NA,31.8,NA,NA
"90292","London","Bill Brandt","740","(British, born Germany. 1904–1983)","(British)","(1904)","(1983)","(Male)","1954","Gelatin silver print","9 1/8 x 7 3/4"" (23.1 x 19.7 cm)","Acquired through the generosity of Richard O. Rieger","18.2007","Photograph","Photography","2007-02-15","Y",107921,"http://www.moma.org/collection/works/107921","http://www.moma.org/media/W1siZiIsIjE5Mzc1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bbdde0c8676ac6ab",NA,NA,NA,23.1,NA,NA,19.7,NA,NA
"50955","ALBERTO WAS MY SECOND DURING MY FRATERNITY INITIATION","Antonio Mendoza","3926","(American, born 1941)","(American)","(1941)","(0)","(Male)","1983","Gelatin silver print","sheet  14 x 10 7/8"" (35.5 x 27.6 cm)","Acquired through the generosity of the Joel W. Solomon Estate","476.1984.16","Photograph","Photography","1984-12-05","N",54027,NA,NA,NA,NA,NA,35.5,NA,NA,27.6,NA,NA
"102355","Liverpool Street Underground Station Shelter","Bill Brandt","740","(British, born Germany. 1904–1983)","(British)","(1904)","(1983)","(Male)","1940","Gelatin silver print","11 11/16 x 9 11/16"" (29.7 x 24.6 cm)
","Acquired through the generosity of Anne and Joel Ehrenkranz in honor of Peter Galassi","665.2012","Photograph","Photography","2012-05-09","Y",138577,"http://www.moma.org/collection/works/138577","http://www.moma.org/media/W1siZiIsIjI0ODI1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5ff55764608d96bc",NA,NA,NA,29.7,NA,NA,24.6,NA,NA
"79953","Josef Esters House, Krefeld, Germany, Perspective study of garden façade","Ludwig Mies van der Rohe","7166","(American, born Germany. 1886–1969)","(American)","(1886)","(1969)","(Male)","c. 1927-1930","Pencil and pastel on paper","14 1/4 x 23 3/4"" (36.2 x 60.3 cm)","Mies van der Rohe Archive, gift of the architect
","MR3.287","Mies van der Rohe Archive","Architecture & Design",NA,"Y",87526,"http://www.moma.org/collection/works/87526","http://www.moma.org/media/W1siZiIsIjEwNzY1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=84648474ef64eb90",NA,NA,NA,36.1951,NA,NA,60.3,NA,NA
"16765","ARTIFICAL SUN (plate, folio 4) from AS IS WHEN","Eduardo Paolozzi","4488","(British, 1924–2005)","(British)","(1924)","(2005)","(Male)","1965",NA,"composition  28 5/16 x 21 15/16"" (71.9 x 55.8 cm)","The Joseph G. Mayer Foundation Fund","503.1967.2","Illustrated Book","Prints & Illustrated Books","1967-06-06","N",18096,NA,NA,NA,NA,NA,71.9,NA,NA,55.8,NA,NA
